,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Jaylen Brown,286.0,179.0,26.5,5.0,10.6,47.4,1.4,3.8,37.3,2.0,2.9,67.8,0.9,3.6,4.5,1.5,0.4,0.9,2.4,1.5,13.5
Carsen Edwards,40.0,0.0,9.3,1.2,3.5,33.1,0.6,2.0,31.6,0.3,0.5,68.4,0.2,1.1,1.3,0.7,0.1,0.3,0.9,0.4,3.3
Tacko Fall,8.0,0.0,4.9,1.4,1.9,73.3,0.0,0.0,0.0,0.4,0.6,60.0,0.3,1.8,2.0,0.1,0.8,0.1,0.9,0.4,3.1
Javonte Green,50.0,2.0,9.9,1.3,2.7,50.0,0.2,0.7,27.8,0.6,0.8,66.7,0.5,1.4,2.0,0.5,0.2,0.5,0.9,0.5,3.4
Romeo Langford,32.0,2.0,11.6,0.9,2.5,35.0,0.2,0.8,18.5,0.6,0.8,72.0,0.5,0.8,1.3,0.4,0.3,0.3,1.0,0.3,2.5
Aaron Nesmith,2.0,0.0,14.5,1.5,4.5,33.3,1.0,3.5,28.6,0.0,0.0,0.0,0.5,1.0,1.5,0.5,0.5,0.0,1.5,1.0,4.0
Semi Ojeleye,204.0,9.0,13.9,1.1,2.8,39.4,0.6,1.7,34.2,0.4,0.6,68.1,0.4,1.5,2.0,0.4,0.1,0.3,1.1,0.3,3.2
Payton Pritchard,7.0,0.0,21.9,2.7,5.3,51.4,0.9,2.1,40.0,0.3,0.4,66.7,0.0,2.0,2.0,2.4,0.3,1.6,1.9,1.9,6.6
Marcus Smart,408.0,190.0,29.0,3.3,8.8,37.3,1.5,4.6,32.0,1.9,2.4,77.4,0.9,2.7,3.5,4.1,0.4,1.6,2.6,1.7,9.9
Jayson Tatum,232.0,232.0,31.9,6.4,14.0,45.7,1.9,4.6,40.1,2.9,3.5,82.8,0.8,5.2,6.0,2.3,0.8,1.2,2.1,1.8,17.6
Jeff Teague,778.0,594.0,27.5,4.4,10.0,44.4,0.9,2.4,35.8,2.8,3.3,84.4,0.3,2.1,2.5,5.7,0.3,1.2,1.9,2.2,12.5
Daniel Theis,201.0,76.0,17.7,2.7,4.8,55.4,0.4,1.2,33.3,1.0,1.4,74.9,1.6,3.1,4.8,1.2,0.9,0.5,2.8,0.8,6.7
Tristan Thompson,625.0,435.0,28.0,3.8,7.3,51.8,0.0,0.1,28.1,1.8,3.0,61.1,3.4,5.3,8.7,1.0,0.7,0.5,2.3,1.2,9.4
Kemba Walker,661.0,616.0,33.8,6.9,16.4,41.9,2.2,6.1,36.0,3.9,4.7,83.7,0.6,3.3,3.8,5.4,0.4,1.3,1.5,2.2,19.9
