,uid,guid,id,height,weight,age,position,jersey,salary,birthDate,headshot,FLName,experience,college,birthPlace,Team,hand
Jaylen Brown,s:40~l:46~a:3917376,0d5cde01f6d3225fdae544ef3304cda2,3917376,"6' 6""",223 lbs,24,SG,7,"$23,735,118",10/24/96,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,Jaylen Brown,4,California,"Marietta, GA",Boston Celtics,
Carsen Edwards,s:40~l:46~a:4066407,4b8ebdfd01221567925035c1e0d0c337,4066407,"5' 11""",200 lbs,22,PG,4,"$1,517,981",03/12/98,https://a.espncdn.com/i/headshots/nba/players/full/4066407.png,Carsen Edwards,1,Purdue,"Houston, TX",Boston Celtics,
Tacko Fall,s:40~l:46~a:3904625,cec7bd80fe2880fe8d9efe9a2294a563,3904625,"7' 5""",311 lbs,25,C,99,0,12/10/95,https://a.espncdn.com/i/headshots/nba/players/full/3904625.png,Tacko Fall,1,UCF,Senegal,Boston Celtics,
Javonte Green,s:40~l:46~a:2596112,a4940ed033e0a114e8862f5a094aa3f8,2596112,"6' 4""",205 lbs,27,SG,43,"$1,517,981",07/23/93,https://a.espncdn.com/i/headshots/nba/players/full/2596112.png,Javonte Green,1,Radford,"Alberta, VA",Boston Celtics,
Romeo Langford,s:40~l:46~a:4397008,75220698859cebd0a78dd7abedc92687,4397008,"6' 4""",216 lbs,21,SG,45,"$3,631,200",10/25/99,https://a.espncdn.com/i/headshots/nba/players/full/4397008.png,Romeo Langford,1,Indiana,"New Albany, IN",Boston Celtics,
Aaron Nesmith,s:40~l:46~a:4396909,524f7f01f97beff02090ba3212148d9e,4396909,"6' 6""",215 lbs,21,SF,24,"$3,458,400",10/16/99,https://a.espncdn.com/i/headshots/nba/players/full/4396909.png,Aaron Nesmith,0,Vanderbilt,"Charleston, SC",Boston Celtics,
Semi Ojeleye,s:40~l:46~a:3056602,b708196e083cbae669f4c726a15dedbe,3056602,"6' 6""",240 lbs,26,PF,37,"$1,752,950",12/05/94,https://a.espncdn.com/i/headshots/nba/players/full/3056602.png,Semi Ojeleye,3,SMU,"Overland Park, KS",Boston Celtics,
Payton Pritchard,s:40~l:46~a:4066354,930f5cd66d496508682419fc78e33a32,4066354,"6' 2""",206 lbs,22,PG,11,"$2,193,480",01/28/98,https://a.espncdn.com/i/headshots/nba/players/full/4066354.png,Payton Pritchard,0,Oregon,"Tualatin, OR",Boston Celtics,
Marcus Smart,s:40~l:46~a:2990992,f5096a5bcbc51d7fd40656c623c434e5,2990992,"6' 3""",220 lbs,26,PG,36,"$13,446,428",03/06/94,https://a.espncdn.com/i/headshots/nba/players/full/2990992.png,Marcus Smart,6,Oklahoma State,"Dallas, TX",Boston Celtics,
Jayson Tatum,s:40~l:46~a:4065648,ed3343b02ffaf6b4e4223a1920938c81,4065648,"6' 8""",210 lbs,22,PF,0,"$9,897,120",03/03/98,https://a.espncdn.com/i/headshots/nba/players/full/4065648.png,Jayson Tatum,3,Duke,,Boston Celtics,
Jeff Teague,s:40~l:46~a:4015,830be2980bf5d81541dfd2cf6411d01b,4015,"6' 3""",195 lbs,32,PG,55,"$1,620,564",06/10/88,https://a.espncdn.com/i/headshots/nba/players/full/4015.png,Jeff Teague,11,Wake Forest,"Indianapolis, IN",Boston Celtics,
Daniel Theis,s:40~l:46~a:2451037,ce75206c087f83ace6f9a8e3efbd9671,2451037,"6' 8""",245 lbs,28,C,27,"$5,000,000",04/04/92,https://a.espncdn.com/i/headshots/nba/players/full/2451037.png,Daniel Theis,3,,Germany,Boston Celtics,
Tristan Thompson,s:40~l:46~a:6474,3a17515023defe0b9258ab5ab8808609,6474,"6' 9""",254 lbs,29,C,13,"$9,258,000",03/13/91,https://a.espncdn.com/i/headshots/nba/players/full/6474.png,Tristan Thompson,9,Texas,"Toronto, ON",Boston Celtics,
Kemba Walker,s:40~l:46~a:6479,665c55b2776846ac62a04efb4c9bcc80,6479,"6' 0""",184 lbs,30,PG,8,"$34,379,100",05/08/90,https://a.espncdn.com/i/headshots/nba/players/full/6479.png,Kemba Walker,9,Connecticut,"Bronx, NY",Boston Celtics,
Tremont Waters,s:40~l:46~a:4278080,af6e260eb5e35114915d1f5af1028733,4278080,"5' 10""",175 lbs,22,PG,51,0,01/10/98,https://a.espncdn.com/i/headshots/nba/players/full/4278080.png,Tremont Waters,1,LSU,"New Haven, CT",Boston Celtics,
Grant Williams,s:40~l:46~a:4066218,3a93561dd9c3f1e8de40fbc7b40f7a5e,4066218,"6' 6""",236 lbs,22,PF,12,"$2,498,760",11/30/98,https://a.espncdn.com/i/headshots/nba/players/full/4066218.png,Grant Williams,1,Tennessee,"Houston, TX",Boston Celtics,
Jarrett Allen,s:40~l:46~a:4066328,2c854df9a5a000969a6ec13cefab21d0,4066328,"6' 11""",248 lbs,22,C,31,"$3,909,902",04/21/98,https://a.espncdn.com/i/headshots/nba/players/full/4066328.png,Jarrett Allen,3,Texas,"San Diego, CA",Brooklyn Nets,
Bruce Brown,s:40~l:46~a:4065670,58b07122067e1153355b9bb5309d7624,4065670,"6' 4""",202 lbs,24,SG,1,"$1,663,861",08/15/96,https://a.espncdn.com/i/headshots/nba/players/full/4065670.png,Bruce Brown,2,Miami (FL),"Boston, MA",Brooklyn Nets,L
Chris Chiozza,s:40~l:46~a:3137795,9a990b112a42aa231daa2f2dbafd582e,3137795,"5' 11""",176 lbs,25,PG,4,0,11/21/95,https://a.espncdn.com/i/headshots/nba/players/full/3137795.png,Chris Chiozza,2,Florida,"Memphis, TN",Brooklyn Nets,
Nicolas Claxton,s:40~l:46~a:4278067,2f68e9f3e30bd15451bb0c2a5334860a,4278067,"6' 11""",226 lbs,21,PF,33,"$1,517,981",04/17/99,https://a.espncdn.com/i/headshots/nba/players/full/4278067.png,Nicolas Claxton,1,Georgia,"Greenville, SC",Brooklyn Nets,
Spencer Dinwiddie,s:40~l:46~a:2580782,d161d7b2bf154c50b6380c8d8754efe4,2580782,"6' 5""",218 lbs,27,PG,26,"$11,454,048",04/06/93,https://a.espncdn.com/i/headshots/nba/players/full/2580782.png,Spencer Dinwiddie,6,Colorado,"Los Angeles, CA",Brooklyn Nets,
Kevin Durant,s:40~l:46~a:3202,dc324fdeeee898e209acd31d8ad9909e,3202,"6' 10""",225 lbs,32,SF,7,"$40,108,950",09/29/88,https://a.espncdn.com/i/headshots/nba/players/full/3202.png,Kevin Durant,12,Texas,"Washington, DC",Brooklyn Nets,
Jeff Green,s:40~l:46~a:3209,be3d61b085b40c0baf388002721290b9,3209,"6' 8""",240 lbs,34,PF,8,"$1,620,564",08/28/86,https://a.espncdn.com/i/headshots/nba/players/full/3209.png,Jeff Green,12,Georgetown,"Cheverly, MD",Brooklyn Nets,
Joe Harris,s:40~l:46~a:2528794,654e75253cf08d2953951254860ee186,2528794,"6' 6""",220 lbs,29,SG,12,"$16,071,429",09/06/91,https://a.espncdn.com/i/headshots/nba/players/full/2528794.png,Joe Harris,6,Virginia,"Chelan, WA",Brooklyn Nets,
Kyrie Irving,s:40~l:46~a:6442,4fb2e3fcad79d9bcddd9bbb09f29ead3,6442,"6' 2""",199 lbs,28,PG,11,"$31,742,000",03/23/92,https://a.espncdn.com/i/headshots/nba/players/full/6442.png,Kyrie Irving,9,Duke,Australia,Brooklyn Nets,
Tyler Johnson,s:40~l:46~a:2530276,51e61a865ce2cf7385c04bbeb1e902e7,2530276,"6' 3""",194 lbs,28,SG,10,"$1,620,564",05/07/92,https://a.espncdn.com/i/headshots/nba/players/full/2530276.png,Tyler Johnson,6,Fresno State,"Grand Forks, ND",Brooklyn Nets,
DeAndre Jordan,s:40~l:46~a:3442,9c8e25a29e683ba859c8946b508a059e,3442,"6' 11""",265 lbs,32,C,6,"$10,375,678",07/21/88,https://a.espncdn.com/i/headshots/nba/players/full/3442.png,DeAndre Jordan,12,Texas A&M,"Houston, TX",Brooklyn Nets,
Rodions Kurucs,s:40~l:46~a:4230548,2dd9a52da382bdf8500a707cb4025696,4230548,"6' 9""",230 lbs,22,SF,00,"$1,780,152",02/05/98,https://a.espncdn.com/i/headshots/nba/players/full/4230548.png,Rodions Kurucs,2,,Latvia,Brooklyn Nets,
Caris LeVert,s:40~l:46~a:2991043,32ca28ecabc26b16452fede2deec2b30,2991043,"6' 6""",205 lbs,26,SG,22,"$16,203,704",08/25/94,https://a.espncdn.com/i/headshots/nba/players/full/2991043.png,Caris LeVert,4,Michigan,"Columbus, OH",Brooklyn Nets,
Reggie Perry,s:40~l:46~a:4396959,e44937ad2ed0352e661317eda2369bf6,4396959,"6' 8""",250 lbs,20,PF,14,0,03/21/00,https://a.espncdn.com/i/headshots/nba/players/full/4396959.png,Reggie Perry,0,Mississippi State,"Flowood, MS",Brooklyn Nets,
Taurean Prince,s:40~l:46~a:2990962,bb4c77ff39aa4d3047a4a1e375f721d1,2990962,"6' 7""",218 lbs,26,PF,2,"$12,250,000",03/22/94,https://a.espncdn.com/i/headshots/nba/players/full/2990962.png,Taurean Prince,4,Baylor,"San Marcos, TX",Brooklyn Nets,R
Landry Shamet,s:40~l:46~a:3914044,69fd7509a4ad0c68925249708020e668,3914044,"6' 4""",195 lbs,23,SG,13,"$2,090,040",03/13/97,https://a.espncdn.com/i/headshots/nba/players/full/3914044.png,Landry Shamet,2,Wichita State,"Kansas City, MO",Brooklyn Nets,
