,id,height,weight,age,position,jersey,salary,FLName,experience,Team,hand,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Jaylen Brown,3917376,78.0,223.0,24,SG,7,23735118.0,Jaylen Brown,4,Boston Celtics,,286.0,179.0,26.5,5.0,10.6,47.4,1.4,3.8,37.3,2.0,2.9,67.8,0.9,3.6,4.5,1.5,0.4,0.9,2.4,1.5,13.5
Carsen Edwards,4066407,71.0,200.0,22,PG,4,1517981.0,Carsen Edwards,1,Boston Celtics,,40.0,0.0,9.3,1.2,3.5,33.1,0.6,2.0,31.6,0.3,0.5,68.4,0.2,1.1,1.3,0.7,0.1,0.3,0.9,0.4,3.3
Tacko Fall,3904625,89.0,311.0,25,C,99,0.0,Tacko Fall,1,Boston Celtics,,8.0,0.0,4.9,1.4,1.9,73.3,0.0,0.0,0.0,0.4,0.6,60.0,0.3,1.8,2.0,0.1,0.8,0.1,0.9,0.4,3.1
Javonte Green,2596112,76.0,205.0,27,SG,43,1517981.0,Javonte Green,1,Boston Celtics,,50.0,2.0,9.9,1.3,2.7,50.0,0.2,0.7,27.8,0.6,0.8,66.7,0.5,1.4,2.0,0.5,0.2,0.5,0.9,0.5,3.4
Romeo Langford,4397008,76.0,216.0,21,SG,45,3631200.0,Romeo Langford,1,Boston Celtics,,32.0,2.0,11.6,0.9,2.5,35.0,0.2,0.8,18.5,0.6,0.8,72.0,0.5,0.8,1.3,0.4,0.3,0.3,1.0,0.3,2.5
Aaron Nesmith,4396909,78.0,215.0,21,SF,24,3458400.0,Aaron Nesmith,0,Boston Celtics,,2.0,0.0,14.5,1.5,4.5,33.3,1.0,3.5,28.6,0.0,0.0,0.0,0.5,1.0,1.5,0.5,0.5,0.0,1.5,1.0,4.0
Semi Ojeleye,3056602,78.0,240.0,26,PF,37,1752950.0,Semi Ojeleye,3,Boston Celtics,,204.0,9.0,13.9,1.1,2.8,39.4,0.6,1.7,34.2,0.4,0.6,68.1,0.4,1.5,2.0,0.4,0.1,0.3,1.1,0.3,3.2
Payton Pritchard,4066354,74.0,206.0,22,PG,11,2193480.0,Payton Pritchard,0,Boston Celtics,,7.0,0.0,21.9,2.7,5.3,51.4,0.9,2.1,40.0,0.3,0.4,66.7,0.0,2.0,2.0,2.4,0.3,1.6,1.9,1.9,6.6
Marcus Smart,2990992,75.0,220.0,26,PG,36,13446428.0,Marcus Smart,6,Boston Celtics,,408.0,190.0,29.0,3.3,8.8,37.3,1.5,4.6,32.0,1.9,2.4,77.4,0.9,2.7,3.5,4.1,0.4,1.6,2.6,1.7,9.9
Jayson Tatum,4065648,80.0,210.0,22,PF,0,9897120.0,Jayson Tatum,3,Boston Celtics,,232.0,232.0,31.9,6.4,14.0,45.7,1.9,4.6,40.1,2.9,3.5,82.8,0.8,5.2,6.0,2.3,0.8,1.2,2.1,1.8,17.6
Jeff Teague,4015,75.0,195.0,32,PG,55,1620564.0,Jeff Teague,11,Boston Celtics,,778.0,594.0,27.5,4.4,10.0,44.4,0.9,2.4,35.8,2.8,3.3,84.4,0.3,2.1,2.5,5.7,0.3,1.2,1.9,2.2,12.5
Daniel Theis,2451037,80.0,245.0,28,C,27,5000000.0,Daniel Theis,3,Boston Celtics,,201.0,76.0,17.7,2.7,4.8,55.4,0.4,1.2,33.3,1.0,1.4,74.9,1.6,3.1,4.8,1.2,0.9,0.5,2.8,0.8,6.7
Tristan Thompson,6474,81.0,254.0,29,C,13,9258000.0,Tristan Thompson,9,Boston Celtics,,625.0,435.0,28.0,3.8,7.3,51.8,0.0,0.1,28.1,1.8,3.0,61.1,3.4,5.3,8.7,1.0,0.7,0.5,2.3,1.2,9.4
Kemba Walker,6479,72.0,184.0,30,PG,8,34379100.0,Kemba Walker,9,Boston Celtics,,661.0,616.0,33.8,6.9,16.4,41.9,2.2,6.1,36.0,3.9,4.7,83.7,0.6,3.3,3.8,5.4,0.4,1.3,1.5,2.2,19.9
Tremont Waters,4278080,70.0,175.0,22,PG,51,0.0,Tremont Waters,1,Boston Celtics,,13.0,1.0,9.8,1.2,3.9,29.4,0.3,1.8,16.7,0.8,0.8,100.0,0.0,0.9,0.9,1.5,0.2,0.9,1.0,1.4,3.4
Grant Williams,4066218,78.0,236.0,22,PF,12,2498760.0,Grant Williams,1,Boston Celtics,,75.0,5.0,15.3,1.3,3.1,41.5,0.4,1.4,25.2,0.5,0.8,69.0,0.9,1.7,2.6,1.0,0.5,0.4,2.4,0.7,3.5
Jarrett Allen,4066328,83.0,248.0,22,C,31,3909902.0,Jarrett Allen,3,Brooklyn Nets,,229.0,175.0,24.2,3.9,6.4,61.0,0.0,0.3,16.7,2.2,3.2,69.8,2.5,5.4,7.9,1.2,1.4,0.5,2.2,1.2,10.1
Bruce Brown,4065670,76.0,202.0,24,SG,1,1663861.0,Bruce Brown,2,Brooklyn Nets,L,135.0,99.0,22.9,2.4,5.7,42.5,0.4,1.4,30.0,1.0,1.3,74.3,0.8,2.6,3.4,2.4,0.5,0.8,2.5,1.1,6.2
Chris Chiozza,3137795,71.0,176.0,25,PG,4,0.0,Chris Chiozza,2,Brooklyn Nets,,37.0,2.0,12.5,1.7,4.4,38.0,0.9,2.3,37.2,0.2,0.2,77.8,0.3,1.3,1.6,2.5,0.1,0.6,1.2,1.0,4.4
Nicolas Claxton,4278067,83.0,226.0,21,PF,33,1517981.0,Nicolas Claxton,1,Brooklyn Nets,,15.0,0.0,12.5,1.8,3.2,56.3,0.1,0.5,14.3,0.7,1.4,52.4,1.3,1.7,2.9,1.1,0.5,0.1,0.9,0.6,4.4
Spencer Dinwiddie,2580782,77.0,218.0,27,PG,26,11454048.0,Spencer Dinwiddie,6,Brooklyn Nets,,320.0,133.0,25.7,4.1,10.1,41.0,1.4,4.3,31.8,3.2,4.1,79.4,0.4,2.4,2.8,5.0,0.3,0.7,2.3,1.8,12.9
Kevin Durant,3202,82.0,225.0,32,SF,7,40108950.0,Kevin Durant,12,Brooklyn Nets,,855.0,855.0,36.9,9.2,18.7,49.3,1.9,4.9,38.1,6.8,7.7,88.3,0.7,6.3,7.1,4.1,1.1,1.1,1.9,3.1,27.0
Jeff Green,3209,80.0,240.0,34,PF,8,1620564.0,Jeff Green,12,Brooklyn Nets,,915.0,545.0,29.4,4.7,10.6,44.2,1.0,3.1,33.4,2.5,3.1,80.5,0.9,3.5,4.4,1.6,0.5,0.7,2.2,1.5,12.9
Joe Harris,2528794,78.0,220.0,29,SG,12,16071429.0,Joe Harris,6,Brooklyn Nets,,338.0,178.0,24.4,3.8,8.0,47.9,1.9,4.4,42.9,0.9,1.2,77.8,0.6,2.6,3.2,1.6,0.2,0.5,2.1,1.2,10.5
Kyrie Irving,6442,74.0,199.0,28,PG,11,31742000.0,Kyrie Irving,9,Brooklyn Nets,,534.0,534.0,33.8,8.2,17.7,46.6,2.1,5.5,39.0,3.8,4.4,87.8,0.8,2.9,3.7,5.7,0.4,1.3,2.2,2.6,22.5
Tyler Johnson,2530276,75.0,194.0,28,SG,10,1620564.0,Tyler Johnson,6,Brooklyn Nets,,312.0,75.0,25.5,3.7,8.7,42.9,1.2,3.4,36.0,1.7,2.2,77.6,0.6,2.6,3.1,2.4,0.4,0.9,1.9,1.1,10.4
DeAndre Jordan,3442,83.0,265.0,32,C,6,10375678.0,DeAndre Jordan,12,Brooklyn Nets,,882.0,720.0,27.7,3.8,5.7,67.0,0.0,0.0,9.1,1.9,3.9,47.4,3.2,7.6,10.8,0.9,1.6,0.6,2.6,1.4,9.4
Rodions Kurucs,4230548,81.0,230.0,22,SF,00,1780152.0,Rodions Kurucs,2,Brooklyn Nets,,113.0,55.0,17.6,2.5,5.6,44.8,0.8,2.4,33.3,0.8,1.2,73.8,0.7,2.7,3.4,0.9,0.3,0.6,2.1,1.1,6.7
Caris LeVert,2991043,78.0,205.0,26,SG,22,16203704.0,Caris LeVert,4,Brooklyn Nets,,220.0,93.0,25.8,4.8,11.1,43.1,1.3,3.8,33.6,2.0,2.8,71.1,0.8,3.0,3.7,3.7,0.3,1.1,1.9,1.9,12.8
Reggie Perry,4396959,80.0,250.0,20,PF,14,0.0,Reggie Perry,0,Brooklyn Nets,,3.0,0.0,4.3,0.3,1.7,20.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.7
